Defense: 13																															
																															
RE BEBB:SetPosFromHike(D8 08)	 3pt	 D8-MoveAbsolute(D8 08)		 D8-MoveAbsolute(E0 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
																															
NT BEC8:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(F0 14)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LE BED2:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(08 08)		 D8-MoveAbsolute(00 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
ROLB BEDF:SetPosFromHike(C8 10)	 2pt	 LoopForward 0A		 D8-MoveAbsolute(C4 00)	 D8-MoveAbsolute(C4 14)	 D8-MoveAbsolute(D4 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
LCB ADC2:SetPosFromMid(C0 28)	 2pt	 C8-Move(9A B9 03)		 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// 																										
FS A38A:SetPosFromHike(C8 50)	 2pt	 24-JumpTo A395:D8-MoveAbsolute(08 B8)		 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// C8-Move(D8 AA 04)	 D8-MoveAbsolute(08 B8)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// 																							
SS AD62:SetPosFromHike(18 50)	 2pt	 MoveRelative(00 88)		 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// 																										
																															
																															
Defense: 91																															
																															
RE A29B:SetPosFromHike(D8 08)	 3pt	 D8-MoveAbsolute(E8 00)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
NT A2A5:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(F8 F8)		 D8-MoveAbsolute(00 00)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
LE A58C:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(18 08)		 D8-MoveAbsolute(18 20)	 F4-Pause(64)	 D8-MoveAbsolute(18 F8)	 D8-MoveAbsolute(08 E0)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																					
ROLB A2B2:SetPosFromHike(C8 10)	 2pt	 D8-MoveAbsolute(C4 F8)		 D8-MoveAbsolute(C4 10)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
RILB BDAA:SetPosFromHike(E0 18)	 2pt	 2B-JumpTo A2C3:D8-MoveAbsolute(F0 F0)		 D8-MoveAbsolute(F0 08)	Grapple ALL	 DA-PassRush	 LoopBack FC// C8-Move(B8 BD 05)	 JumpTo A2C3:D8-MoveAbsolute(F0 F0)	 D8-MoveAbsolute(F0 08)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																			
LILB A14B:SetPosFromHike(00 18)	 2pt	 FC(FF E0)		 D8-MoveAbsolute(04 F0)	 D8-MoveAbsolute(04 08)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																							
LOLB A2E1:SetPosFromHike(18 0C)	 2pt	 2B-JumpTo A2EC:D8-MoveAbsolute(28 00)		 D8-MoveAbsolute(28 28)	 F4-Pause(14)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// C8-Move(DC AA 06)	 D8-MoveAbsolute(28 00)	 D8-MoveAbsolute(28 28)	 F4-Pause(14)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																	
RCB AD7C:SetPosFromMid(36 28)	 2pt	 C8-Move(D8 AA 01)		 2B-JumpTo BDEC:F4-Pause(00)	 LoopBack FE// D9-MoveAbsolute(36 28)	 F4-Pause(3C)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																						
LCB BDBE:SetPosFromMid(C0 28)	 2pt	 2B-JumpTo A304:MoveRelative(00 90)		 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// C8-Move(DC AA 08)	 JumpTo A304:MoveRelative(00 90)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																					
FS AD6C:SetPosFromHike(C8 50)	 2pt	 27-JumpTo BDEC:F4-Pause(00)		 LoopBack FE// 27-JumpTo A38A:SetPosFromHike(C8 50)	 2pt	 24-JumpTo A395:D8-MoveAbsolute(08 B8)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// C8-Move(D8 AA 04)	 D8-MoveAbsolute(08 B8)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// D8-MoveAbsolute(00 E8)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// 																		
SS A39B:SetPosFromHike(18 50)	 2pt	 F4-Pause(14)		 D8-MoveAbsolute(E8 81)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// 																									
																															
																															
Defense: 92																															
																															
RE A29B:SetPosFromHike(D8 08)	 3pt	 D8-MoveAbsolute(E8 00)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
NT A2A5:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(F8 F8)		 D8-MoveAbsolute(00 00)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
LE A58C:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(18 08)		 D8-MoveAbsolute(18 20)	 F4-Pause(64)	 D8-MoveAbsolute(18 F8)	 D8-MoveAbsolute(08 E0)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																					
ROLB A2B2:SetPosFromHike(C8 10)	 2pt	 D8-MoveAbsolute(C4 F8)		 D8-MoveAbsolute(C4 10)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
RILB BDAA:SetPosFromHike(E0 18)	 2pt	 2B-JumpTo A2C3:D8-MoveAbsolute(F0 F0)		 D8-MoveAbsolute(F0 08)	Grapple ALL	 DA-PassRush	 LoopBack FC// C8-Move(B8 BD 05)	 JumpTo A2C3:D8-MoveAbsolute(F0 F0)	 D8-MoveAbsolute(F0 08)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																			
LILB AAE0:SetPosFromHike(00 18)	 2pt	 29-JumpTo A37F:26-JumpTo A345:27-JumpTo A353:F4-Pause(3C)		 D8-MoveAbsolute(10 C8)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// F4-Pause(14)	 D8-MoveAbsolute(F8 C8)	 D8-MoveAbsolute(E8 C0)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// D8-MoveAbsolute(F0 D0)	 F4-Pause(14)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// JumpTo AAC2:VertMirror	 LoopBack FF// 																
LOLB ACE4:SetPosFromHike(18 0C)	 2pt	 JumpTo ACD2:C8-Move(DC AA 0A)		 D8-MoveAbsolute(20 FC)	 D8-MoveAbsolute(20 10)	 F4-Pause(1E)	 D8-MoveAbsolute(18 00)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																					
RCB A36F:SetPosFromMid(36 28)	 2pt	 F4-Pause(0A)		 D9-MoveAbsolute(36 C0)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// 																									
LCB BDBE:SetPosFromMid(C0 28)	 2pt	 2B-JumpTo A304:MoveRelative(00 90)		 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// C8-Move(DC AA 08)	 JumpTo A304:MoveRelative(00 90)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																					
FS AA83:SetPosFromHike(C8 50)	 2pt	 29-JumpTo AA6F:C8-Move(D8 AA 03)		 D8-MoveAbsolute(B8 D8)	 F5-Pause(0A 46)	Grapple ALL	 DA-PassRush	 LoopBack FC// JumpTo AAC2:VertMirror	 LoopBack FF// 																						
SS AA04:SetPosFromHike(18 50)	 2pt	 D8-MoveAbsolute(E8 98)		 D8-MoveAbsolute(B8 90)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																								
																															
																															
Defense: 93																															
																															
RE A110:SetPosFromHike(D8 08)	 3pt	 FC(04 00)		 D8-MoveAbsolute(D8 10)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
NT A63C:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(F0 E0)		 F4-Pause(3C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
LE A58C:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(18 08)		 D8-MoveAbsolute(18 20)	 F4-Pause(64)	 D8-MoveAbsolute(18 F8)	 D8-MoveAbsolute(08 E0)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																					
ROLB A5A1:SetPosFromHike(C8 10)	 2pt	 D8-MoveAbsolute(D0 F4)		 D8-MoveAbsolute(D0 00)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
RILB A648:SetPosFromHike(E0 18)	 2pt	 D8-MoveAbsolute(E8 F0)		 D8-MoveAbsolute(E8 00)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
LILB A5B9:SetPosFromHike(00 18)	 2pt	 D8-MoveAbsolute(00 00)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LOLB A2E1:SetPosFromHike(18 0C)	 2pt	 2B-JumpTo A2EC:D8-MoveAbsolute(28 00)		 D8-MoveAbsolute(28 28)	 F4-Pause(14)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// C8-Move(DC AA 06)	 D8-MoveAbsolute(28 00)	 D8-MoveAbsolute(28 28)	 F4-Pause(14)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																	
RCB AB93:SetPosFromMid(36 28)	 2pt	 2B-JumpTo AB9E:D8-MoveAbsolute(DC D8)		 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// C8-Move(D8 AA 01)	 D8-MoveAbsolute(DC D8)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// 																							
LCB BDBE:SetPosFromMid(C0 28)	 2pt	 2B-JumpTo A304:MoveRelative(00 90)		 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// C8-Move(DC AA 08)	 JumpTo A304:MoveRelative(00 90)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																					
FS A38A:SetPosFromHike(C8 50)	 2pt	 24-JumpTo A395:D8-MoveAbsolute(08 B8)		 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// C8-Move(D8 AA 04)	 D8-MoveAbsolute(08 B8)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// 																							
SS A39B:SetPosFromHike(18 50)	 2pt	 F4-Pause(14)		 D8-MoveAbsolute(E8 81)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// 																									
																															
																															
Defense: 94																															
																															
RE A110:SetPosFromHike(D8 08)	 3pt	 FC(04 00)		 D8-MoveAbsolute(D8 10)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
NT A63C:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(F0 E0)		 F4-Pause(3C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
LE A58C:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(18 08)		 D8-MoveAbsolute(18 20)	 F4-Pause(64)	 D8-MoveAbsolute(18 F8)	 D8-MoveAbsolute(08 E0)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																					
ROLB A5A1:SetPosFromHike(C8 10)	 2pt	 D8-MoveAbsolute(D0 F4)		 D8-MoveAbsolute(D0 00)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
RILB A648:SetPosFromHike(E0 18)	 2pt	 D8-MoveAbsolute(E8 F0)		 D8-MoveAbsolute(E8 00)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
LILB ABA4:SetPosFromHike(00 18)	 2pt	 2B-JumpTo A3F3:F4-Pause(3C)		 D8-MoveAbsolute(10 C8)	Grapple ALL	 DA-PassRush	 LoopBack FC// D8-MoveAbsolute(E8 C0)	 F4-Pause(3C)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																				
LOLB ACCB:SetPosFromHike(18 0C)	 2pt	 29-JumpTo A473:F3-Pause(1E)		 D8-MoveAbsolute(20 00)	 D8-MoveAbsolute(20 28)	 D8-MoveAbsolute(14 3C)	Grapple ALL	 DA-PassRush	 LoopBack FC// C8-Move(DC AA 0A)	 D8-MoveAbsolute(20 FC)	 D8-MoveAbsolute(20 10)	 F4-Pause(1E)	 D8-MoveAbsolute(18 00)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 															
RCB AB93:SetPosFromMid(36 28)	 2pt	 2B-JumpTo AB9E:D8-MoveAbsolute(DC D8)		 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// C8-Move(D8 AA 01)	 D8-MoveAbsolute(DC D8)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// 																							
LCB BDBE:SetPosFromMid(C0 28)	 2pt	 2B-JumpTo A304:MoveRelative(00 90)		 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// C8-Move(DC AA 08)	 JumpTo A304:MoveRelative(00 90)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																					
FS AD6C:SetPosFromHike(C8 50)	 2pt	 27-JumpTo BDEC:F4-Pause(00)		 LoopBack FE// 27-JumpTo A38A:SetPosFromHike(C8 50)	 2pt	 24-JumpTo A395:D8-MoveAbsolute(08 B8)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// C8-Move(D8 AA 04)	 D8-MoveAbsolute(08 B8)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// D8-MoveAbsolute(00 E8)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// 																		
SS AD3A:SetPosFromHike(18 50)	 2pt	 27-JumpTo A39F:F4-Pause(14)		 D8-MoveAbsolute(E8 81)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// JumpTo AA08:D8-MoveAbsolute(E8 98)	 D8-MoveAbsolute(B8 90)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																					
																															
																															
Defense: 95																															
																															
RE A110:SetPosFromHike(D8 08)	 3pt	 FC(04 00)		 D8-MoveAbsolute(D8 10)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
NT A63C:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(F0 E0)		 F4-Pause(3C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
LE A58C:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(18 08)		 D8-MoveAbsolute(18 20)	 F4-Pause(64)	 D8-MoveAbsolute(18 F8)	 D8-MoveAbsolute(08 E0)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																					
ROLB A5A1:SetPosFromHike(C8 10)	 2pt	 D8-MoveAbsolute(D0 F4)		 D8-MoveAbsolute(D0 00)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
RILB AD44:SetPosFromHike(E0 18)	 2pt	 2B-JumpTo A5AE:D8-MoveAbsolute(E8 D8)		 D8-MoveAbsolute(08 C8)	 F4-Pause(3C)	Grapple ALL	 DA-PassRush	 LoopBack FC// D8-MoveAbsolute(C8 EC)	 F4-Pause(46)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																			
LILB AD53:SetPosFromHike(00 18)	 2pt	 26-JumpTo AAE4:29-JumpTo A37F:26-JumpTo A345:27-JumpTo A353:F4-Pause(3C)		 D8-MoveAbsolute(10 C8)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// F4-Pause(14)	 D8-MoveAbsolute(F8 C8)	 D8-MoveAbsolute(E8 C0)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// D8-MoveAbsolute(F0 D0)	 F4-Pause(14)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// JumpTo AAC2:VertMirror	 LoopBack FF// D8-MoveAbsolute(E0 D8)	 F4-Pause(3C)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 												
LOLB ACE4:SetPosFromHike(18 0C)	 2pt	 JumpTo ACD2:C8-Move(DC AA 0A)		 D8-MoveAbsolute(20 FC)	 D8-MoveAbsolute(20 10)	 F4-Pause(1E)	 D8-MoveAbsolute(18 00)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																					
RCB A36F:SetPosFromMid(36 28)	 2pt	 F4-Pause(0A)		 D9-MoveAbsolute(36 C0)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// 																									
LCB BDBE:SetPosFromMid(C0 28)	 2pt	 2B-JumpTo A304:MoveRelative(00 90)		 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// C8-Move(DC AA 08)	 JumpTo A304:MoveRelative(00 90)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																					
FS AA6B:SetPosFromHike(C8 50)	 2pt	 C8-Move(D8 AA 03)		 D8-MoveAbsolute(B8 D8)	 F5-Pause(0A 46)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																							
SS AD3A:SetPosFromHike(18 50)	 2pt	 27-JumpTo A39F:F4-Pause(14)		 D8-MoveAbsolute(E8 81)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// JumpTo AA08:D8-MoveAbsolute(E8 98)	 D8-MoveAbsolute(B8 90)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																					
																															
																															
Defense: 96																															
																															
RE BEBB:SetPosFromHike(D8 08)	 3pt	 D8-MoveAbsolute(D8 08)		 D8-MoveAbsolute(E0 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
NT BEC8:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(F0 14)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LE BED2:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(08 08)		 D8-MoveAbsolute(00 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
ROLB BEDF:SetPosFromHike(C8 10)	 2pt	 LoopForward 0A		 D8-MoveAbsolute(C4 00)	 D8-MoveAbsolute(C4 14)	 D8-MoveAbsolute(D4 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
RILB A481:SetPosFromHike(E0 18)	 2pt	 F3-Pause(32)		 D8-MoveAbsolute(C8 D0)	 D8-MoveAbsolute(B0 C8)	 F4-Pause(C8)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
LILB A492:SetPosFromHike(00 18)	 2pt	 F3-Pause(3C)		 D8-MoveAbsolute(E0 C8)	 D8-MoveAbsolute(D0 C0)	 F4-Pause(3C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
LOLB A4A3:SetPosFromHike(18 0C)	 2pt	 C8-Move(DC AA 01)		 D8-MoveAbsolute(28 08)	 F3-Pause(3C)	 D8-MoveAbsolute(20 F0)	 D8-MoveAbsolute(00 D0)	 D8-MoveAbsolute(E8 C8)	 F4-Pause(50)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																			
RCB ADBB:SetPosFromMid(36 28)	 2pt	 JumpTo BDEC:F4-Pause(00)		 LoopBack FE// 																											
LCB AD8F:SetPosFromMid(C0 28)	 2pt	 D9-MoveAbsolute(C0 68)		 MoveRelative(C8 E8)	 MoveRelative(C8 E8)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// 																								
FS BD35:SetPosFromHike(C8 50)	 2pt	 29-JumpTo BDEC:F4-Pause(00)		 LoopBack FE// LoopBack F2	 C8-Move(D8 AA 03)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// 																								
SS AA04:SetPosFromHike(18 50)	 2pt	 D8-MoveAbsolute(E8 98)		 D8-MoveAbsolute(B8 90)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																								
																															
																															
Defense: 97																															
																															
RE BEBB:SetPosFromHike(D8 08)	 3pt	 D8-MoveAbsolute(D8 08)		 D8-MoveAbsolute(E0 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
NT BEC8:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(F0 14)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LE BED2:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(08 08)		 D8-MoveAbsolute(00 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
ROLB BEDF:SetPosFromHike(C8 10)	 2pt	 LoopForward 0A		 D8-MoveAbsolute(C4 00)	 D8-MoveAbsolute(C4 14)	 D8-MoveAbsolute(D4 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
RILB ADDB:SetPosFromHike(E0 18)	 2pt	 27-JumpTo A44F:F3-Pause(14)		 27-JumpTo A45C:D8-MoveAbsolute(10 E0)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// D8-MoveAbsolute(F0 C8)	 F4-Pause(5A)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// JumpTo A485:F3-Pause(32)	 D8-MoveAbsolute(C8 D0)	 D8-MoveAbsolute(B0 C8)	 F4-Pause(C8)	Grapple ALL	 DA-PassRush	 LoopBack FC// 															
LILB A492:SetPosFromHike(00 18)	 2pt	 F3-Pause(3C)		 D8-MoveAbsolute(E0 C8)	 D8-MoveAbsolute(D0 C0)	 F4-Pause(3C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
LOLB ADE5:SetPosFromHike(18 0C)	 2pt	 26-JumpTo A4A7:C8-Move(DC AA 01)		 D8-MoveAbsolute(28 08)	 F3-Pause(3C)	 D8-MoveAbsolute(20 F0)	 D8-MoveAbsolute(00 D0)	 D8-MoveAbsolute(E8 C8)	 F4-Pause(50)	Grapple ALL	 DA-PassRush	 LoopBack FC// F4-Pause(3C)	 D8-MoveAbsolute(18 E0)	 D8-MoveAbsolute(08 C8)	 F4-Pause(1E)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 													
RCB ADF9:SetPosFromMid(36 28)	 2pt	 27-JumpTo AB97:2B-JumpTo AB9E:D8-MoveAbsolute(DC D8)		 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// C8-Move(D8 AA 01)	 D8-MoveAbsolute(DC D8)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// JumpTo BDEC:F4-Pause(00)	 LoopBack FE// 																						
LCB AD8F:SetPosFromMid(C0 28)	 2pt	 D9-MoveAbsolute(C0 68)		 MoveRelative(C8 E8)	 MoveRelative(C8 E8)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// 																								
FS AD6C:SetPosFromHike(C8 50)	 2pt	 27-JumpTo BDEC:F4-Pause(00)		 LoopBack FE// 27-JumpTo A38A:SetPosFromHike(C8 50)	 2pt	 24-JumpTo A395:D8-MoveAbsolute(08 B8)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// C8-Move(D8 AA 04)	 D8-MoveAbsolute(08 B8)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// D8-MoveAbsolute(00 E8)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// 																		
SS AD3A:SetPosFromHike(18 50)	 2pt	 27-JumpTo A39F:F4-Pause(14)		 D8-MoveAbsolute(E8 81)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// JumpTo AA08:D8-MoveAbsolute(E8 98)	 D8-MoveAbsolute(B8 90)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																					
																															
																															
Defense: 98																															
																															
RE BEBB:SetPosFromHike(D8 08)	 3pt	 D8-MoveAbsolute(D8 08)		 D8-MoveAbsolute(E0 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
NT BEC8:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(F0 14)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LE BED2:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(08 08)		 D8-MoveAbsolute(00 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
ROLB BEDF:SetPosFromHike(C8 10)	 2pt	 LoopForward 0A		 D8-MoveAbsolute(C4 00)	 D8-MoveAbsolute(C4 14)	 D8-MoveAbsolute(D4 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
RILB ADDB:SetPosFromHike(E0 18)	 2pt	 27-JumpTo A44F:F3-Pause(14)		 27-JumpTo A45C:D8-MoveAbsolute(10 E0)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// D8-MoveAbsolute(F0 C8)	 F4-Pause(5A)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// JumpTo A485:F3-Pause(32)	 D8-MoveAbsolute(C8 D0)	 D8-MoveAbsolute(B0 C8)	 F4-Pause(C8)	Grapple ALL	 DA-PassRush	 LoopBack FC// 															
LILB AAE0:SetPosFromHike(00 18)	 2pt	 29-JumpTo A37F:26-JumpTo A345:27-JumpTo A353:F4-Pause(3C)		 D8-MoveAbsolute(10 C8)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// F4-Pause(14)	 D8-MoveAbsolute(F8 C8)	 D8-MoveAbsolute(E8 C0)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// D8-MoveAbsolute(F0 D0)	 F4-Pause(14)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// JumpTo AAC2:VertMirror	 LoopBack FF// 																
LOLB ADE5:SetPosFromHike(18 0C)	 2pt	 26-JumpTo A4A7:C8-Move(DC AA 01)		 D8-MoveAbsolute(28 08)	 F3-Pause(3C)	 D8-MoveAbsolute(20 F0)	 D8-MoveAbsolute(00 D0)	 D8-MoveAbsolute(E8 C8)	 F4-Pause(50)	Grapple ALL	 DA-PassRush	 LoopBack FC// F4-Pause(3C)	 D8-MoveAbsolute(18 E0)	 D8-MoveAbsolute(08 C8)	 F4-Pause(1E)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 													
RCB AE0F:SetPosFromMid(36 28)	 2pt	 D8-MoveAbsolute(D0 D8)		 F4-Pause(3C)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																								
LCB AE03:SetPosFromMid(C0 28)	 2pt	 D9-MoveAbsolute(C0 88)		 F4-Pause(64)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																								
FS AA6B:SetPosFromHike(C8 50)	 2pt	 C8-Move(D8 AA 03)		 D8-MoveAbsolute(B8 D8)	 F5-Pause(0A 46)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																							
SS AAA6:SetPosFromHike(18 50)	 2pt	 JumpTo AAC2:VertMirror		 LoopBack FF// 																											
																															
																															
Defense: 99																															
																															
RE AA11:SetPosFromHike(D8 08)	 3pt	 F3-Pause(1E)		 JumpTo A708:Boost-RS(0F)	 E3(30)	 F7(30)	 D8-MoveAbsolute(D8 08)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																					
NT AA1A:SetPosFromHike(F0 08)	 3pt	 F3-Pause(1E)		 JumpTo A718:Boost-RS(0F)	 E3(30)	 F7(20)	 F3-Pause(28)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																					
LE AA23:SetPosFromHike(08 08)	 3pt	 F3-Pause(1E)		 JumpTo A727:Boost-RS(0F)	 E3(30)	 F7(30)	 D8-MoveAbsolute(08 08)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																					
ROLB AE1B:SetPosFromHike(C8 10)	 2pt	 F4-Pause(8C)		 JumpTo A737:Boost-RS(0F)	 E3(30)	 F7(30)	 D8-MoveAbsolute(C4 08)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																					
